0,1,2,3,4
정수현,JUNG Soo-hyun,JUNG Soo-hyun,VFX 슈퍼바이저,"비와 당신의 이야기|다만 악에서 구하소서|해치지않아|속물들|신의 한 수: 귀수편|퍼펙트맨|배심원들|돈|극한직업|명당|리틀 포레스트|공작|흥부: 글로 세상을 바꾼 자|살인자의 기억법|리얼|혼숨|미씽: 사라진 여자|특별수사: 사형수의 편지|해어화|널 기다리며|히야|남과 여|어떤살인|위험한 상견례 2|헬머니|국제시장|명량|의궤, 8일간의 축제 3D|조선미녀삼총사|뫼비우스|더 테러 라이브|뜨거운 안녕|파파로티|더 웹툰: 예고살인|미나문방구|전설의 주먹|사이코메트리|반창꼬|차이나 블루|피에타|청포도 사탕: 17년 전의 약속|공모자들|간기남|파파|너는 펫|Mr.아이돌|오직 그대만|최종병기 활|오빠가 돌아왔다|나탈리|인사동 스캔들|인류멸망 보고서"
김태엽,KIM Yong-soo,KIM Yong-soo,액션/스턴트,"수상한 이웃|장사리 : 잊혀진 영웅들|계춘할망|메이드 인 차이나|강남 1970|해적: 바다로 간 산적|역린|폴라로이드|명량|하이힐|또 하나의 약속|조선미녀삼총사|용의자|친구 2|스파이|26년|남영동1985|바람과 함께 사라지다|특수본|최종병기 활|마마|로맨틱 헤븐|무적자|1724 기방난동사건|아기와 나|무림여대생|대한이, 민국씨|색즉시공 시즌2|펀치레이디|꽃미남 연쇄 테러 사건|가문의 부활 - 가문의 영광3|로망스|흡혈형사 나도열|왕의 남자|미스터 소크라테스|강력 3반|천군|역전의 명수|동갑내기 과외하기|불후의 명작"
박지현,,,VFX 아티스트,"모가디슈|다만 악에서 구하소서|남산의 부장들|천문: 하늘에 묻는다|속물들|나를 찾아줘|장사리 : 잊혀진 영웅들|롱 리브 더 킹: 목포 영웅|지푸라기라도 잡고 싶은 짐승들|돈|완벽한 타인|명당|리틀 포레스트|마약왕|물괴|공작|흥부: 글로 세상을 바꾼 자|살인자의 기억법|혼숨|미씽: 사라진 여자|특별수사: 사형수의 편지|해어화|히야|널 기다리며|남과 여|어떤살인|위험한 상견례 2|헬머니|국제시장|명량|의궤, 8일간의 축제 3D|조선미녀삼총사|더 테러 라이브|여고괴담 4 : 목소리|파송송 계란탁"
이지연,,,VFX 아티스트,모가디슈|반도|백두산|미스터 주: 사라진 VIP|사자|PMC: 더 벙커|창궐|신과함께-인과 연|조선명탐정: 흡혈괴마의 비밀|신과함께-죄와 벌|박열|하루|대립군|리얼|싱글라이더|조작된 도시|판도라|밀정|국가대표 2|부산행|명량|조선미녀삼총사|관상|더 테러 라이브|체포왕|세리와 하르|가루지기|춘곤증 
김경미,,,미술팀,해치지않아|몽마르트 파파|감쪽같은 그녀|질투의 역사|물괴|재심|소시민|나를 잊지 말아요|서부전선|슬로우 비디오|명량|5백만불의 사나이|하울링|사랑이 무서워
류연,RYU Yeon,RYU Yeon,DI팀,
김현우,KIM Hyun-woo,KIM Hyun-woo,제작,"미드나이트|낙원의 밤|뷰티풀 데이즈|마녀|살인소설|브이아이피|시간위의 집|목숨 건 연애|무수단|섬. 사라진 사람들|비밀|춘희막이|미쓰 와이프|마돈나|은밀한 유혹|파일 : 4022일의 사육|타투|오피스|산다|고양이 장례식|워킹걸|국제시장|카트|제자, 옥한흠|제보자|마담 뺑덕|두근두근 내 인생|좋은 친구들|경주|황제를 위하여|우는 남자|표적|60만번의 트라이|야간비행|명량|가시|우아한 거짓말|만신|찌라시: 위험한 소문|수상한 그녀|밤의 여왕|감기|설국열차|고령화 가족|더 웹툰: 예고살인|신세계|악마를 보았다|괴물"
서경훈,Seo Gyeong-hun,Seo Gyeong-hun,VFX 슈퍼바이저,싱크홀|극장판 콩순이: 장난감나라 대모험|사냥|탐정 홍길동: 사라진 마을|극장판 꼬마버스 타요의 에이스 구출작전|퇴마: 무녀굴|연평해전|4등|명량|더 테러 라이브|뜨거운 안녕|파파로티|더 웹툰: 예고살인|미나문방구|전설의 주먹|사이코메트리|반창꼬|차이나 블루|청포도 사탕: 17년 전의 약속|피에타|공모자들|간기남|파파|너는 펫|Mr.아이돌|오직 그대만|최종병기 활|고지전|마마|오빠가 돌아왔다|굿바이 보이|꿈은 이루어진다|가벼운 잠|열한번째 엄마|상사부일체|복면달호|원탁의 천사|투사부일체|썬데이 서울|B형 남자친구|어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장|은장도|하얀방|보스 상륙 작전(Boss X File)|흑수선|베사메무쵸|인류멸망 보고서
김지영,Jeeyoung Kim,Jeeyoung Kim,VFX 아티스트,방법: 재차의|남산의 부장들|천문: 하늘에 묻는다|백두산|롱 리브 더 킹: 목포 영웅|지푸라기라도 잡고 싶은 짐승들|완벽한 타인|신과함께-인과 연|1987|신과함께-죄와 벌|침묵|대립군|리얼|조작된 도시|가려진 시간|다른 길이 있다|서부전선|극비수사|오늘의 연애|덕수리 5형제|맨홀|해적: 바다로 간 산적|극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!|명량|무명인|내 아내의 모든 것|두레소리|건축학개론|코리아|부러진 화살|퍼펙트 게임|7광구|돌아오는 길|청춘그루브|어린 신부|해피버스데이
김호진,,,온라인마케팅,"수색자|아이윌 송|괴기맨숀|혼자 사는 사람들|행복의 속도|갈매기|극장판 콩순이: 장난감나라 대모험|나는 나를 해고하지 않는다|런 보이 런|박강아름 결혼하다|이별식당|어서오시게스트하우스|울지마 톤즈 2 : 슈크란 바바|아직 사랑하고 있습니까?|수상한 이웃|극장판 반지의 비밀일기|어게인|나는보리|마왕의 딸 이리샤|메기|점박이 한반도의 공룡2 : 새로운 낙원|리스펙트|배반의 장미|극장판 뽀잉: 슈퍼 변신의 비밀|나를 기억해|이,기적인 남자|공동정범|눈꺼풀|다시 태어나도 우리|오늘의 연애|명량|집으로 가는 길|배우는 배우다|감기|고령화 가족|베를린|나의 PS 파트너 |안녕! 유에프오"
현상필,,,DI팀,"최선의 삶|혼자 사는 사람들|어른들은 몰라요|애비규환|국도극장: 감독판|국도극장|집 이야기|윤희에게|버티고|타짜: 원 아이드 잭|우리집|굿바이 썸머|롱 리브 더 킹: 목포 영웅|로망|나는보리|호흡|메기|벌새|진범|보희와 녹양|예수보다 낯선|선희와 슬기|사바하|언더독|점박이 한반도의 공룡2 : 새로운 낙원|안녕, 나의 소녀 시절이여|영주|해피 투게더|협상|인랑|박화영|홈|그날, 바다|삼촌|썬키스 패밀리|히치하이크|이월|얼굴들|샘|봄이가도|살아남은 아이|변산|덕구|곤지암|소공녀|메리 크리스마스 미스터 모|푸른노을|메소드|박열|용순|괴물들|로마서 8:37|공조|나의 살던 고향은|서울역|슈퍼 프렌즈|우리들|탐정 홍길동: 사라진 마을|일사각오|22|지렁이|여교사|사돈의 팔촌|스틸 플라워|글로리데이|동주|극적인 하룻밤|도리화가|돌연변이|비밀|성난 변호사|뷰티 인사이드|협녀, 칼의 기억|은밀한 유혹|프랑스 영화처럼|들꽃|라이브 TV|사도|베테랑|나의 절친 악당들|장수상회|쎄시봉|오늘의 연애|상의원|국제시장|목숨|나의 독재자|소리굽쇠|슬로우 비디오|마담 뺑덕|타짜-신의 손|해무(海霧)|우는 남자|표적|소수의견|안녕, 투이|명량|이쁜 것들이 되어라|찌라시: 위험한 소문|수상한 그녀|집으로 가는 길|배우는 배우다|감기|공범|생일|세컨어카운트|치킨게임|자각몽|우리 지금 만나"
주석태,JOO Suk-tae,JOO Suk-tae,배우,혼자 사는 사람들|트웬티 해커|디바|오케이 마담|남산의 부장들|양자물리학|왓칭|안시성|꾼|보통사람|마스터|판도라|대결|밀정|터널|성난 변호사|명량|끝까지 간다|캐치미|친구 2|숨바꼭질|점쟁이들|연가시|용서는 없다|모던보이|최강로맨스|뚝방전설|구세주|오늘의 은수|휴가|해주세요|방 안의 코끼리
김창주,KIM Chang-ju,KIM Chang-ju,편집,"인질|발신제한|국제수사|럭키 몬스터|침입자|히트맨|나를 찾아줘|장사리 : 잊혀진 영웅들|배심원들|PMC: 더 벙커|폴란드로 간 아이들|안시성|명당|마녀|챔피언|흥부: 글로 세상을 바꾼 자|대장 김창수|브이아이피|청년경찰|특별시민|리얼|프리즌|조작된 도시|사랑하기 때문에|당신, 거기 있어줄래요|가려진 시간|시발, 놈: 인류의 시작|터널|슈퍼 프렌즈|계춘할망|희생부활자|엽기적인 그녀 2|그날의 분위기|대호|특종: 량첸살인기|서부전선|협녀, 칼의 기억|쓰리 썸머 나잇|손님|극비수사|경성학교: 사라진 소녀들|내 심장을 쏴라|두근두근 내 인생|소녀괴담|황제를 위하여|표적|극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!|명량|끝까지 간다|더 파이브|관상|설국열차|더 테러 라이브|잉투기|남자사용설명서|점쟁이들|간첩|두 개의 달|퍼펙트 게임|최종병기 활 감독확장판|가문의 영광4 - 가문의 수난|최종병기 활|짐승|간증|아이들...|나탈리|포화속으로|사요나라 이츠카|반가운 살인자|나는 곤경에 처했다!|천국의 우편배달부|나는 갈매기|마린보이|장례식의 멤버|리턴|작은 여자 큰 여자 그 사이에 낀 남자-에피소드2|마음이...|플라이 대디|호로비츠를 위하여|여교수의 은밀한 매력|음란서생|웰컴 투 동막골|허기|좋은 밤 되세요|웅이 이야기"
강효미,KANG Hyo-mi,KANG Hyo-mi,홍보/마케팅 진행,"랑종|기적|조제|오! 문희|#살아있다|백두산|시동|나를 찾아줘|82년생 김지영|가장 보통의 연애|배심원들|사자|사바하|증인|뺑반|스윙키즈|국가부도의 날|마녀|레슬러|너의 결혼식|지금 만나러 갑니다|골든슬럼버|염력|그것만이 내 세상|침묵|남한산성|군함도|특별시민|임금님의 사건수첩|조작된 도시|공조|마스터|가려진 시간|고산자, 대동여지도|인천상륙작전|아가씨|곡성|비밀은 없다|오빠생각|나를 잊지 말아요|도리화가|열정같은소리하고있네|검은 사제들|특종: 량첸살인기|성난 변호사|미쓰 와이프|베테랑|장수상회|허삼관|패션왕|나의 독재자|두근두근 내 인생|황제를 위하여|명량|끝까지 간다|우아한 거짓말|찌라시: 위험한 소문|용의자|변호인|화이: 괴물을 삼킨 아이|깡철이|미스터 고|감시자들|파파로티|런닝맨|뒷담화: 감독이 미쳤어요|마이 리틀 히어로|반창꼬|광해, 왕이 된 남자|바람과 함께 사라지다|도둑들|미쓰GO|내 아내의 모든 것|시체가 돌아왔다|코리아|러브픽션|원더풀 라디오|완득이|고양이: 죽음을 보는 두 개의 눈|돌멩이의 꿈|결혼식 후에|낙원-파라다이스|트라이앵글|19-Nineteen|내 눈에 콩깍지|토끼와 리저드|거북이 달린다|7급 공무원|달콤한 거짓말|아내가 결혼했다|님은 먼 곳에|추격자|대한이, 민국씨|뜨거운 것이 좋아|펀치레이디|동갑내기 과외하기 레슨 2|마파도2|가을로|다세포소녀|방과후 옥상|그때 그 사람들"
이동민,,,액션/스턴트팀,"미션 파서블|국제수사|죽지않는 인간들의 밤|침입자|속물들|사자|자전차왕 엄복동|기묘한 가족|내안의 그놈|안시성|명당|탐정: 리턴즈|7년의 밤|물괴|천사의 시간|퍼즐|1987|부라더|하루|보통사람|더 킹|판도라|달빛궁궐|봉이 김선달|특종: 량첸살인기|서부전선|탐정 : 더 비기닝|협녀, 칼의 기억|위험한 상견례 2|4등|오피스|쓰리 썸머 나잇|상의원|맨홀|슬로우 비디오|두근두근 내 인생|해적: 바다로 간 산적|좋은 친구들|소수의견|막걸스|명량|무명인|의궤, 8일간의 축제 3D|친구 2|깡철이|런닝맨|반창꼬|비정한 도시 감독판|회사원|5백만불의 사나이|연가시|차형사|간기남|댄싱퀸|통증|최종병기 활|퀵|고지전|적과의 동침|로맨틱 헤븐|수상한 이웃들|퀴즈왕|김복남 살인사건의 전말|주유소 습격사건 2|아빠가 여자를 좋아해|비상|홍길동의 후예|쌍화점|울학교 이티|눈에는 눈 이에는 이|원스어폰어타임|마이 뉴 파트너|사랑|무서운 이야기 '앰뷸런스'"
김선민,,,조명팀,미션 파서블|마지막 휴가|소리도 없이|히트맨|시동|퍼펙트맨|엑시트|명당|리틀 포레스트|마약왕|죄 많은 소녀|어른도감|사라진 밤|기억의 밤|장산범|악녀|특별시민|재심|공조|가려진 시간|대결|터널|글로리데이|극적인 하룻밤|검은 사제들|미안해 사랑해 고마워|탐정 : 더 비기닝|살인의뢰|워킹걸|제보자|명량|끝까지 간다|동창생|미쓰GO|자각몽
황진욱,,,조명팀,"파이프라인|여고괴담 여섯번째 이야기 : 모교|미션 파서블|테우리|사라진 시간|히트맨|두번할까요|열두 번째 용의자|지푸라기라도 잡고 싶은 짐승들|아워 바디|협상|여중생A|죄 많은 소녀|치즈인더트랩|사라진 밤|골든슬럼버|그것만이 내 세상|악녀|특별시민|휴게소|비정규직 특수요원|목숨 건 연애|대결|터널|글로리데이|착한 처제|세상끝의 사랑|미안해 사랑해 고마워|안녕, 투이|명량|우리 지금 만나"
김주일,KIM Joo-il,KIM Joo-il,조명팀,"미션 파서블|이웃사촌|국제수사|열두 번째 용의자|우리집|엑시트|롱 리브 더 킹: 목포 영웅|왓칭|멀리가지마라|돌멩이|지푸라기라도 잡고 싶은 짐승들|아워 바디|뺑반|여곡성|리틀 포레스트|치즈인더트랩|사라진 밤|골든슬럼버|성판17: 남자들의 17가지 성적 판타지|기억의 밤|귀향, 끝나지 않은 이야기|택시운전사|악녀|특별시민|재심|가려진 시간|터널|인천상륙작전|사냥|귀향|위험한 중독|검은 사제들|연평해전|은밀한 유혹|악인은 살아 있다|오늘의 연애|마담 뺑덕|슬로우 비디오|제보자|피해자들|명량|끝까지 간다|동창생|화이: 괴물을 삼킨 아이|마이 리틀 히어로|철가방 우수氏|내가 살인범이다|늑대소년|용의자X|시체가 돌아왔다|범죄와의 전쟁: 나쁜놈들 전성시대|악인은 너무 많다|최종병기 활|적과의 동침|두 여자|살인의 강|마음이2|집 나온 남자들|동자 대소동|평행이론|내 사랑 내 곁에|3cm|진실을 위하여"
옥성준,,,조명,미션 파서블|롱 리브 더 킹: 목포 영웅|왓칭|여곡성|성판17: 남자들의 17가지 성적 판타지|인천상륙작전|사냥|악인은 살아 있다|강남 1970|피해자들|명량|노크|내가 살인범이다|악인은 너무 많다|다슬이|캐릭터|최종병기 활|적과의 동침|방독피|아버지는 개다|두 여자|평행이론|하모니|해운대|멋진 하루|외톨이|내 여자의 남자친구|도레미파솔라시도|원탁의 천사|맨발의 기봉이|개와 늑대 사이의 시간|미스터 소크라테스|한길수|까불지마|라이어|조폭마누라2-돌아온 전설|험난한 인생
강태영,KANG Taeyoung,KANG Taeyoung,배우,멀리가지마라|뺑반|물괴|무뢰한|명량|하우등( 夏雨燈 )|고스트
윤대원,YOON Dae-won,YOON Dae-won,특수효과,"싱크홀|CCTV|빛나는 순간|비와 당신의 이야기|소리꾼|해치지않아|신의 한 수: 귀수편|82년생 김지영|두번할까요|롱 리브 더 킹: 목포 영웅|유정 - 스며들다|극한직업|PMC: 더 벙커|창궐|안시성|상류사회|탐정: 리턴즈|리틀 포레스트|마약왕|살아남은 아이|신과함께-인과 연|신과함께-죄와 벌|메소드|범죄도시|아이 캔 스피크|귀향, 끝나지 않은 이야기|용순|특별시민|루시드 드림|스플릿|밀정|그랜드파더|봉이 김선달|사냥|폭력의 법칙: 나쁜 피 두 번째 이야기|럭키|시간이탈자|날, 보러와요|널 기다리며|귀향|로봇, 소리|나를 잊지 말아요|내부자들|그놈이다|성난 변호사|간신|악의 연대기|순수의 시대|라이브 TV|성실한 나라의 앨리스|소셜포비아|오늘의 연애|상의원|빅매치|제보자|두근두근 내 인생|터널 3D|피해자들|경주|우는 남자|도희야|야간비행|명량|한공주|열한시|밤의 여왕|더 테러 라이브|은밀하게 위대하게|좋은 친구들 |남자사용설명서|타워|나의 PS 파트너 |백야|늑대소년|광해, 왕이 된 남자|공모자들|내 아내의 모든 것|시체가 돌아왔다|콩가네|코리아|페이스메이커|원더풀 라디오|티끌모아 로맨스|챔프|7광구|풍산개|수상한 고객들|청춘그루브|김종욱 찾기|나탈리|살인의 강|방가? 방가!|무적자|폐가|고死 두 번째 이야기: 교생실습|하녀|베스트셀러|집 나온 남자들|육혈포 강도단|웨딩드레스|구르믈 버서난 달처럼|이웃집 남자|평행이론|하모니|시크릿|홍길동의 후예|백야행|부산|정승필 실종사건|헬로우 마이 러브|불꽃처럼 나비처럼|내 사랑 내 곁에|요가학원|불신지옥|국가대표|해운대|여고괴담 5|거북이 달린다|인사동 스캔들|슬픔보다 더 슬픈 이야기|탈주|김씨표류기|달콤한 거짓말|1724 기방난동사건|이리|멋진 하루|당신이 잠든 사이에|님은 먼 곳에|흑심모녀|가루지기|비스티 보이즈|지금, 이대로가 좋아요|대한이, 민국씨|6년째 연애중|슈퍼맨이었던 사나이|무방비도시|헨젤과 그레텔|내 사랑|싸움|펀치레이디|궁녀|즐거운 인생|지금 사랑하는 사람과 살고 있습니까?|별빛 속으로|꽃미남 연쇄 테러 사건|황진이|밀양|극락도 살인사건|언니가 간다|해바라기|예의없는 것들|오로라 공주|치킨게임|너를 봤어|무서운 이야기 '앰뷸런스'"
박성호,PARK Sung-ho,PARK Sung-ho,동시녹음,"기적|오! 문희|소리꾼|유정 - 스며들다|도어락|지금 만나러 갑니다|메소드|사냥|시간이탈자|울보|그놈이다|협녀, 칼의 기억|명량: 회오리 바다를 향하여|차이나타운|나의 독재자|집으로 가는 길|감기|고스톱 살인|남쪽으로 튀어|천국의 아이들|577 프로젝트|코리아|마이 웨이|아이들...|무적자|뭘 또 그렇게까지|웨딩드레스|걸프렌즈|집행자|킬 미|정승필 실종사건|푸른 강은 흘러라|날아라 펭귄|7급 공무원|가면|싸움|화려한 휴가|Mr.로빈 꼬시기|우리들의 행복한 시간|가족의 탄생|피터팬의 공식|외출|그때 그 사람들|안녕, 형아|주먹이 운다(Crying Fist)|역도산|꽃피는 봄이 오면|가족|령|몬스터|내 동생|언니가 이해하셔야 돼요|첫사랑 열전(한번만..다음에.. 편)|원나잇스탠드(Episode 2.)|공항남녀|여행"
정훈,,,VFX 슈퍼바이저,"어른들은 몰라요|서복|젊은이의 양지|다만 악에서 구하소서|결백|점박이 한반도의 공룡2 : 새로운 낙원|소녀의 세계|성난황소|상류사회|마약왕|바람 바람 바람|곤지암|기억의 밤|유리정원|범죄도시|사랑하기 때문에|고산자, 대동여지도|올레|터널|엽기적인 그녀 2|섬. 사라진 사람들|번개맨|더 폰|마돈나|나의 절친 악당들|명량|끝까지 간다|우리에게 떡볶이를 먹을 권리가 있다"
정재훈,JUNG Jae-hoon,JUNG Jae-hoon,VFX 슈퍼바이저,"방법: 재차의|서복|젊은이의 양지|지푸라기라도 잡고 싶은 짐승들|미스터 주: 사라진 VIP|점박이 한반도의 공룡2 : 새로운 낙원|소녀의 세계|성난황소|상류사회|오목소녀|마약왕|바람 바람 바람|곤지암|기억의 밤|유리정원|범죄도시|사촌여동생|사랑하기 때문에|판도라|고산자, 대동여지도|밀정|올레|터널|엽기적인 그녀 2|번개맨|더 폰|마돈나|나의 절친 악당들|국제시장|나의 사랑 나의 신부|명량|끝까지 간다|그 강아지 그 고양이|멜로|뽀로로 극장판 슈퍼썰매 대모험|노크|26년|레드마리아|회복|집행자|해운대|아부지|과속스캔들|좋은 놈, 나쁜 놈, 이상한 놈 |가루지기|트럭|허밍|엠|권순분여사 납치사건|기담|검은 집|택시 블루스|브레인웨이브|그곳에 있다.|김추자|Jam Docu 강정"
