,ratings,comments
138,1,코믹물은 언제나 호불호가 나뉜다. 개인적으로 극불호. 상황설정부터 유머코드까지 어느하나 재밌는 구석이라곤 없었다. TV에서 틀어줘도 시간아까워 안볼 영화.
139,8,
140,10,네번 봤어요 너무 재미떠 힣
141,10,배꼽 빠지는 줄 ^^ 간만에 진~짜 재밌었음^^
142,8,유쾌함의 끝
143,8,창식이 오정세없었으면 어쩔뻔했어
144,10,테드창이 멋있었음
145,6,쓸데 없이 욕이 난무함
146,1,쓰렉
147,4,신하균과 테드창 나올때만 재밋고 나머진 별로였다   우리나라 관객 수준에 맞으니 많이 봤겠지
148,8,
149,10,스트레스를 풀어준 영화 
150,10,그냥 웃자고 보는 영화
151,0,하... 이런 영화가 역대 2위??? 
152,7,아 치맥 하고 싶다!!!
153,9,재밌음 계속 웃었음  
154,6,이게 1600....
155,10,재밌게 봤어요
156,5,1600만이봤다는게 미스테리
157,9,기대없이 봤는데 왜 천만넘었는지 알겠음 재밌어요
158,8,이병헌감독 한건 했구만 재미있게 봤다
159,10,
160,5,나도 예고가 다였어 ㅡ.ㅡ
161,6,
162,7,웃자고 만든 영화에 수많은 관객이 호응을 했네요. 대단한 호응을 받을정도의 대단한 영화는 아닌듯한데 때론 답답한 영화보단 이렇게 대사 하나하나가 코믹스런 영화가 더 좋을수도...... 류승룡도 좋았지만 다른 조연들의 코믹연기가 너무 좋았습니다.
163,9,엄청 웃었네요. 감사합니다
164,3,삼류... 뭘로  표현이  안되는  영화  ...
165,7,
166,7,웃다나옴  잼
167,10,걍 계속 웃었네요 ㅋ
168,3,
169,8,보는 내내 웃었다
170,3,이해 해보려 해도 이 영화가 어떻게 대한민국 영화 2위가 됐는지 이해가 안감...... 좀 부끄럽다는 말밖에...
171,9,^^
172,0,
173,8,예고가재밌어 봤더니예고가 다여서 좀그랬던..
174,9,조연분들도 눈빛하나하나 너무 잘하시고 디기 욱기넼ㅋㅋㅋㅋ
175,6,"오버하는 컨셉으로 나간덕에 그나마 부족한 부분을 넘기게 됨.  아얘 설정을 조금 더 오버해서 잡고, 편집을 경쾌하게 다듬었으면 훨씬 좋았을 것."
176,1,"한국영화를 보는 관객들의 수준이란 이런영화를 1,600만명이나 관람했다니...."
177,1,나만  재미없는줄  나만  이상한사람인줄  알았다 넘  재미없는 영화
178,7,이제서야 봤는데 천만은 좀 너무했다 설정과 대사로 웃기려해서 그런지 후반에 격투신은 늘어지는 느낌. 딱 킬링타임용
179,4,좀 이해안됨  어떼케 1600만이나 본거지?  몇몇장면은 웃기긴 했지만 단지 웃기기만 할뿐
180,3,머가 재밌다는 건지? 내가 남들과 다른거겠죠?
181,10,개인적으로 한국 코미디 영화 중 탑
182,10,10번 이상보고또보고  극한직업 2 기다려봅니당♡
183,1,"최악, b급도 아닌 c급 코메디? 한번도 미소조차 짓지 않음. 이감독 영화 너무 유치. 한국영화 관객 수준 참......."
184,5,..
185,8,류승룡 이하늬 캐릭터는 이미 웃지않으면서 웃기는 캐릭터로 알려짐. 엉망진창 이면서 우연적인 장면 한개 끼워넣고 성공하는 시나리오 그건 감독 마음이지... 나름 재밌슴.
186,7,
187,1,최악. 이게 어떻게 1600만?
188,10,
189,9,
190,10,
191,10,
192,8,
193,9,
194,10,이만하면 수작
