,ratings,comments
108,10,난  차태현님이  주인공인줄   알았어요    본인 개인상을  못타서    아쉬웠습니다 그래도   대배우 하정우  화이팅!
109,6,
110,10,"생각보다 너무 재미남 배우들 연기가 ㅎㄷㄷ 주지훈,김동욱 다시봤다 연기 잘 하드라"
111,10,
112,7,
113,7,
114,10,
115,7,착하게 살자
116,6,이게 1400만? 뒤로 갈수록 억지 신파극으로 잠왔음.. 동생은 뜬금없이 왜 죽나했더니 2편을 위한 빅피쳐 였구만..한국영화의 고질병 CG도 별로였음..
117,3,
118,10,
119,0,재미없어
120,8,어머니와 아들의 감동스토리 근데 배우들 발음이 부정확해
121,8,어머니와 아들관계. 참 울먹이면서 봤네요. 
122,6,설국열차에서 아이디어를 따온것같고 저승사자옷은  매트릭스 엿지만 각지옥이 특색잇엇다  특히 대장이랑 동생이 악귀되서 날라다니며 싸우는게 압권 토네이도는 이집트서 나온거구 ㅎ 인과연  완젼 기대됨  일탄에서 이탄복선 영화관에서 봐야한다  아쉬움
123,7,
124,7,"발음이 부정확해. 특히 김향기, 주지훈"
125,8,
126,7,"1,2편을 묶으니 짝이 맞는다..  우리나라도 이제 시리즈물이 ^^"
127,0,이딴게 영화라니
128,10,신선한 내용이다
129,9,평점을 깔 필요는 없어보이는데 재미있습니다.
130,8,
131,10,진짜 너무 만족합니다 ㅠㅠㅠㅠㅠㅠ   영상보고 펑펑 울어버렸네요.. 진짜..너무 쟈밌게 봤어요!!  신과함께 너무 보고싶었는데 봤을 때 너무 신나했었습니다 엉엉엉... 신과함께 파이팅!!하세요!
132,7,
133,10,인생영화 최근 본 영화 중 가장 재밌었다
134,5,"다섯명 보러가서 두명자고, 세명  재미없다였음. 책은 진짜 잼잇는데, 책 기대하고 보러갓다 개실망.  버프가넘심해서 2편은 아예보러안감."
135,9,잘 만든 영화예요. 반성도 하게되고 눈물도 펑펑. 
136,8,
137,10,재밌기만하구만 김동욱이살아있었다는거에얼마나무섭고공포속에죽었을까짐작도할수없고불쌍했다ㅠ사람이제일무섭다ㅠ 엄마꿈에나와서오열하면서얘기할때눈물나죽는줄알았는데 왜재미없데~~~ 극장에서볼걸
138,10,추석영화루 다시 봄ㅋ 난 넘 감동이구 재밌는데 수준참 그렇다구 꼭 그런 얘길 하다니ㅠ 이런건 지극히 주관적이라 수준까지 논하는건 아니라구 보네요... 전  또 울었어요ㅠ
139,1,천만 실화냐? 우리 나라 관객들 수준 참...ㅠㅠ
140,7,
141,10,결혼해서 아이 낳아 키워보니 신파가 더 이상 신파가 아니라 내 얘기더라는....
142,9,잘 만들었네..
143,1,천만관객... 음...
144,7,이 생에서 죄 짓지 말자.
145,8,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
146,0,"참 조선민족 특히 여성관객들수준이,,,어린이용 착하게살자신파극에 인생최대지루함에 천만이라니,,, 이러니 서민경제가 안살지"
147,9,
148,10,나는 보통 실증을 잘 내는 편인데 영화를 이렇게 열심히 본 건 처음이다 거기다가 영화 마지막부분 보고 울기 까지했다 이영화는 정말 잘 만들어진겄같다. 내가 좋아하는배우들도 많이 나오고 영화 끝나고 착하게 살아야지 하는 생각까지 들었다 (대박) 
149,10,
150,9,동양 환타지 역전재판ㅋ
151,10,시작하는 순간부터 단 1초도 지루하질 않네 진짜 잘만들었다 ㅋ
152,9,
153,10,아버지에49제를 5일날기고 오늘에서야 방황끝에ᆞ 신과함깨를접하게되었다ᆞ 지금에 낭비했던 삶을다시 되돌아보게되는 영화 신과함깨 넘 감명깊게 봤습니다  불설수생경
154,5,"엉성하고 어이없는 전개, 어김없는 신파"
155,7,영화보면서 이렇게 운적은 처음이다ㅠㅠ 엄마 ㅠㅠㅠㅠ  효도하며 살아야지... 연출이나 배우들 연기가 단백했다면 좋았을텐데 작위적이라 많이 아쉬움
156,7,
157,8,흥미로웠다.  
158,0,
159,4,.
160,0,뭐지 CG떡칠 왜 동생은 원귀가 된거지 하정우는 원기쫒으며 날라다니며 나머지는 재판하다 끝나는영화. 모든 재판이    검사(?)가 주인공의 죄를 말하고 판사(?)가 검사 말에 이끌림 그러다 누구누구로 인해 변호사(?)가 상황을 뒤집음. 결국 무죄.    모든 재판이 이런다 왜 재밌는걸까 
161,6,기대없이 봐서 그런지 생각보다 꽤 괜찮은 영화였다 코미디에나 어울리는 차태현 캐스팅이 좀 에러인듯
162,9,권선징악.. 우리나라스러운 판타지 영화 잘 봤습니다
163,10,
164,10,
165,9,진변호사의 공백이 보이지 않는다
166,9,
167,4,
168,1,
169,10,
170,9,무엇보다  차태현씨의 디테일하고 실감나는연기에 찬사를 보냅니다~♡ 사후의 세계가 정말 있을까요? 어려서부터 관심이 많았지만 확실한 지가 궁금하구요 영화를 보면서 지난날의 잘못들을 반성하게되고  사소한 죄라도  절대 짓지말아야겠다는~^^ 
171,5,웬만해선 영화 보다가 조는 일 없는데 거의 처음으로 눈 감기는 경험을 했네요. 고맙습니다.
172,7,생각보도 다소 액션신이 없는것 같고 여자주인공은 왜 있는지 모르겠다 어정쩡하다 해설사로 나오신 것 같은 느낌을 밭았고 하정우의 연기력으로 인해 이영화가 빚을 본것 같다
173,7,
174,9,
175,8,모방의 적절한 예시
176,10,헤원맥  존  잘
177,10,웹툰과는 다르지만 존잼.
178,10,졸잼
179,10,개꿀잼
180,6,"지루한 액션, CG, 가족애...  그러나 남을 진정으로 용서하고 그에게서 진정으로 용서받는다는 것을 얘기한, 그 주제는 소중하다."
181,6,
182,10,
183,10,완전 잼 ⟩⟨
184,6,
185,7,
186,10,만족
187,10,
188,6,
189,6,
190,10,잼ㅁ
191,0,웅변을 하질안나 변호를 하질안나 현대시대물 법정 토론보는줄 허허 
192,5,캐스팅 빨의 소문난 잔치에 먹을 것 없었다...
193,0,중국 드라마 보는줄..  차사들 옷은 왜 그렇게 입혔는지.. 스토리는 왜또 그러고.. 
194,7,
195,6,적당히 슬펐고 적당히 재밌었다
196,2,이런영화가 천만을 넘다니..
197,8,
198,10,명작 중의 명작
199,10,완전 재밌었음요!! 안보면 후회할 영화~~
200,6,
201,5,한국형 판타지라는 말로 포장 하지 마라. 판타지 영화가 아니라 CG많이 쓴 신파 영화일 뿐이다.  하드웨어 기술 발전에 비해 못 미치는 소프트웨어를 단적으로 보여준 영화다. 
202,10,"신과함께 죄와벌,인과연 다 재미있음!!"
203,8,갠적으로  이 영화는 차태현의 재발견이라 말하고 싶다. 영화가 딱히 재미없거나 감동이 별로인것도 아니고 나름 선방한 CG등 전반적으로는  좋았지만. 감독이 욕심이 과했던가? 뭔가  루즈함도 있었던것도 사실. 스토리나 편집이 좀더 간결했음 어땠을까 싶고.그나마 차태현의 자연스러운  연기가 흡입력을 발휘해 몰입도와 감동을 끌어올려줬다고본다. 
204,10,
205,10,너무 재미있게 봤습니다ㅜ
206,10,감동적이
207,3,감동의 눈물은 커녕 찐따라 여겼던 왕따한테 눈탱이 맞고 뿌려진 찝질함과 자신에의 한심함의 눈물이랄까? 눈물은 나는데 짜증이 난다. 아울러 도무지 공감이 되질 않는.. 이 영화를 통해 보면 지옥을 면할 사람이 과연 있기나 한 걸까?
208,0,너..무.. 졸려요. 영상효과는 유치찬란 산만하고 지루
209,10,
210,3,무명배우 후배 폭행 모욕하고 12년간 치료않주고 사과않는 뻔뻔하고 비양심적인 이경영 배우 퇴출운동 청와대 국민청원 https://www1.president.go.kr/petitions/335591
211,10,
212,8,
213,9,
214,10,와! 진짜 너무잼있고 않보면 후회할 각! 너무다들 멋있고 스토리도 짱! 소장욕구 뿜뿜
215,10,
216,10,너무 완벽한 영화에요~^^ 잘봤습니다!
217,10,친구추천으로 보게됬는데어쩌다보니 3번이나 봤어요(재밌어요)
218,10,
219,8,솔직히 초반에 지루해서 별로였는데 가면갈수록 흥미진진하고 슬프고... 영화관에서봤음 더 재밌었을듯...
220,8,색다른 주제를 가지고 스토리 있게 전개한 독특한 영화. 아무래도 한국인의 정서에 맞아서 그런가 저승이란 요소가 호기심을 불러일으킨 스토리 중심.
221,5,울긴 너무 많이 울었음 스토리 어거지 주지훈 너무 어색 김향기 너무 어색 조연들 오버가 넘 심하고 그나마 차태현 김동욱이 젤 낳앙
222,10,
223,10,
224,10,
225,1,천만 영화라고 봤는데 ㅡㅡ 이게 우찌 천만관객 넘었는지 이해를 못하겠고 차태현 연기는 어디 초딩연기보다 못하는 ㅡ.ㅡ 그외 연기자들  아니였으면  진짜 욕나올뻔 ㅡ.ㅡ 
226,10,
227,10,주지훈 너무 잘생겼자나여 이건 반칙입니다  너무 재미있게 잘 봤어요
228,10,
229,8,
230,3,그래픽이..ㅡ 학교운동장인가 연병장인가 거기서 회오리 그래픽은 진찌 80년대 그래픽수준이던데 ㅡ
231,10,우리나라에서  볼수없는기술  멋진작품 잘밨읍니다
232,4,4점이 적당
233,1,kt vod 결재하고 보다만 영화 몇편중 촤근작품  뭐 정말  아동영화가 생각나는 이유는  내가 너무 어른이어서 그런걸까..
234,7,염라역을 이정재의 카리스마는 그야말로 압권이다.
235,10,
236,8,
237,10,너무 재밌고 슬프고 웃기고 다 해 ㅠㅠㅠ
238,10,짱... 이말밖에 할말이 없당
239,9,
240,10,재밌는데
241,0,"이게 왜 이렇게 인기가 많은지 모르겠다..  신과함께 원작 팬이고, 흥행도 잘 되었다고 하고, 이번에 2편 개봉한다고해서 2편 보러가기전에 1편을 vod로 봤다.  이해안되는 캐릭터의 감정변화(특히 김병장) 해원맥의 좋은 점은 강림, 덕춘이 나눠가지고.. 강림, 덕춘의 나쁜점은 해원맥이한테 다 준 느낌... 불상한 해원맥.. ㅠㅠ  김병장은... 마블코믹스에서 온듯.. 스톰 + 샌드맨 보는 줄 알았음..  무엇보다.. 스토리가... 넘 신파 + 억지.. 판결도 이해안되고..  보기 전 : 오! 천원이다 오예! 봐야지! 본 후: 아.. 내 천원... 내 2시간.. 잠이나 잘걸.."
242,10,자신의  삶을  돌아보게되는  계기가 되었다.  오늘까지의  삶이  내일이 된다.
243,2,해운대랑 도긴개긴 
244,10,재밌음
245,4,정신사납다~장황~CG범벅
246,10,2편도 기대됨. 어서 보러 가야지.
247,10,이게왜이리 평 낮은지 이해불가
